sample_id,domain_length,domain,request_frequency,query_type,label,difficulty,entropy
14211,46,facebook.com,128,A,suspicious,medium,0.5319
15743,15,whatsapp.com,0,TXT,normal,easy,0.4836
129136,9,wikipedia.org,10,A,normal,easy,0.511
31017,46,google.com,24844,A,suspicious,medium,0.371
75827,38,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dk.data-exfil.com,3,MX,suspicious,medium,0.9947
134598,47,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4b.data-exfil.com,3,A,tunneling,easy,0.9839
73226,58,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29g.data-exfil.com,0,MX,tunneling,easy,0.9864
24895,36,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6.data-exfil.com,7,TXT,tunneling,hard,1.0
69751,43,youtube.com,1,A,normal,easy,0.4878
91706,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,0,A,tunneling,easy,0.9866
51424,63,facebook.com,0,A,normal,easy,0.5319
198159,64,microsoft.com,35,A,suspicious,medium,0.5702
71684,57,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29.data-exfil.com,3,A,tunneling,hard,0.9857
142809,13,dkry5cjqx4bip.data-exfil.com,19,A,suspicious,medium,0.7158
14709,15,microsoft.com,7,TXT,normal,easy,0.5702
145235,52,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3a.data-exfil.com,17,A,suspicious,medium,0.9836
97664,14,dkry5cjqx4bipw.data-exfil.com,418,A,suspicious,medium,0.7364
173282,28,amazon.in,27972,A,suspicious,medium,0.4355
30419,37,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6d.data-exfil.com,6,TXT,tunneling,hard,0.9972
129288,27,facebook.com,6,A,suspicious,medium,0.5319
36116,33,dkry5cjqx4bipw3ahov29gnu18fmt07el.data-exfil.com,1,TXT,tunneling,easy,0.9757
102470,23,dkry5cjqx4bipw3ahov29gn.data-exfil.com,5,A,tunneling,easy,0.875
151863,61,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,0,A,suspicious,medium,0.9886
173919,52,whatsapp.com,95,A,suspicious,medium,0.4836
73290,20,dkry5cjqx4bipw3ahov2.data-exfil.com,10,TXT,suspicious,medium,0.836
48362,56,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov2.data-exfil.com,15,A,tunneling,easy,0.9851
116717,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,0,A,suspicious,medium,0.9866
201673,25,google.com,20000,MX,suspicious,medium,0.371
138372,30,youtube.com,1,TXT,normal,easy,0.4878
89421,28,dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,16,TXT,tunneling,easy,0.9299
157590,20,google.com,2,TXT,normal,easy,0.371
196720,27,dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,2,A,tunneling,easy,0.9197
112358,47,youtube.com,1,A,normal,easy,0.4878
31541,43,amazon.in,90,A,suspicious,medium,0.4355
203760,45,microsoft.com,0,A,normal,easy,0.5702
176625,24,google.com,2,A,normal,easy,0.371
26630,23,dkry5cjqx4bipw3ahov29gn.data-exfil.com,0,A,tunneling,easy,0.875
119779,39,wikipedia.org,12,A,normal,easy,0.511
80664,51,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3.data-exfil.com,0,A,tunneling,easy,0.9834
174482,6,amazon.in,82,TXT,suspicious,medium,0.4355
98801,26,dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,1,A,tunneling,easy,0.9092
121973,62,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,1,MX,tunneling,easy,0.9895
34904,39,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkr.data-exfil.com,73,A,suspicious,medium,0.9926
223671,25,wikipedia.org,200000,A,suspicious,medium,0.511
120561,23,wikipedia.org,0,MX,suspicious,medium,0.511
41461,52,youtube.com,1,A,normal,easy,0.4878
83979,60,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu.data-exfil.com,0,A,tunneling,easy,0.9878
186703,32,netflix.com,5,A,normal,easy,0.543
101740,27,dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,262,A,suspicious,medium,0.9197
35251,14,dkry5cjqx4bipw.data-exfil.com,8,MX,suspicious,medium,0.7364
154140,30,dkry5cjqx4bipw3ahov29gnu18fmt0.data-exfil.com,30,A,tunneling,easy,0.9491
186819,33,facebook.com,0,A,normal,easy,0.5319
114860,26,dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,189,TXT,suspicious,medium,0.9092
4755,12,facebook.com,1,A,normal,easy,0.5319
195749,25,whatsapp.com,13,TXT,normal,hard,0.4836
30852,53,whatsapp.com,3,MX,normal,easy,0.4836
88085,8,amazon.in,666666,TXT,suspicious,medium,0.4355
42734,40,facebook.com,0,TXT,normal,easy,0.5319
196804,52,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3a.data-exfil.com,29,MX,tunneling,easy,0.9836
203716,52,google.com,0,A,normal,easy,0.371
3064,14,amazon.in,0,TXT,normal,easy,0.4355
49668,18,whatsapp.com,27397,TXT,suspicious,medium,0.4836
107054,37,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6d.data-exfil.com,25,A,suspicious,medium,0.9972
95238,48,wikipedia.org,0,TXT,normal,easy,0.511
200567,17,facebook.com,4,MX,normal,easy,0.5319
62313,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,0,TXT,tunneling,easy,0.9866
31428,14,microsoft.com,0,MX,normal,easy,0.5702
87661,48,google.com,0,MX,normal,easy,0.371
138234,5,whatsapp.com,0,A,normal,easy,0.4836
101994,44,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjq.data-exfil.com,306,A,suspicious,medium,0.9857
131368,29,dkry5cjqx4bipw3ahov29gnu18fmt.data-exfil.com,1,A,tunneling,easy,0.9397
87886,56,facebook.com,1,TXT,normal,easy,0.5319
8292,55,youtube.com,23529,MX,suspicious,medium,0.4878
201854,33,netflix.com,0,MX,normal,easy,0.543
12467,12,whatsapp.com,1,A,normal,easy,0.4836
195455,39,microsoft.com,163,A,suspicious,medium,0.5702
215795,47,facebook.com,63,MX,suspicious,medium,0.5319
122452,37,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6d.data-exfil.com,0,TXT,tunneling,easy,0.9972
43044,7,amazon.in,3322,MX,suspicious,medium,0.4355
217588,33,microsoft.com,1,A,normal,easy,0.5702
80831,50,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw.data-exfil.com,0,A,tunneling,easy,0.9834
146196,50,youtube.com,0,TXT,normal,easy,0.4878
72002,11,dkry5cjqx4b.data-exfil.com,131,TXT,suspicious,medium,0.6691
12358,25,microsoft.com,25000,TXT,suspicious,medium,0.5702
213045,36,facebook.com,0,TXT,normal,easy,0.5319
38027,38,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dk.data-exfil.com,4,A,tunneling,easy,0.9947
113059,23,dkry5cjqx4bipw3ahov29gn.data-exfil.com,0,MX,tunneling,easy,0.875
81764,42,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5c.data-exfil.com,58,A,suspicious,medium,0.9878
193339,26,dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,2,A,tunneling,easy,0.9092
93615,51,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3.data-exfil.com,7,A,tunneling,easy,0.9834
106758,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,26,MX,tunneling,easy,0.9866
204483,8,youtube.com,666666,TXT,suspicious,medium,0.4878
189526,19,dkry5cjqx4bipw3ahov.data-exfil.com,188,A,suspicious,medium,0.8217
92401,37,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6d.data-exfil.com,4,TXT,suspicious,medium,0.9972
1278,17,facebook.com,67,A,suspicious,medium,0.5319
209492,21,google.com,80,MX,suspicious,medium,0.371
210947,57,amazon.in,0,A,normal,easy,0.4355
177791,8,whatsapp.com,666666,A,suspicious,medium,0.4836
225330,9,microsoft.com,500000,TXT,suspicious,medium,0.5702
202274,29,youtube.com,47619,A,suspicious,medium,0.4878
109611,13,dkry5cjqx4bip.data-exfil.com,183,A,suspicious,medium,0.7158
90365,5,dkry5cjqx4.data-exfil.com,111,A,suspicious,medium,0.6425
45219,14,dkry5cjqx4bipw.data-exfil.com,193,A,suspicious,medium,0.7364
20441,62,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,5,TXT,tunneling,easy,0.9895
172336,13,dkry5cjqx4bip.data-exfil.com,0,A,tunneling,easy,0.7158
83811,33,dkry5cjqx4bipw3ahov29gnu18fmt07el.data-exfil.com,267,A,suspicious,medium,0.9757
1202,9,facebook.com,21739,TXT,suspicious,medium,0.5319
44632,45,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx.data-exfil.com,0,MX,tunneling,easy,0.9849
32777,29,google.com,1,A,normal,easy,0.371
85707,46,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4.data-exfil.com,347,MX,suspicious,medium,0.9843
132955,42,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5c.data-exfil.com,9,A,tunneling,easy,0.9878
122064,17,dkry5cjqx4bipw3ah.data-exfil.com,0,A,tunneling,easy,0.7906
160849,25,dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,201,A,suspicious,medium,0.8982
131077,11,dkry5cjqx4b.data-exfil.com,0,A,tunneling,easy,0.6691
34495,32,dkry5cjqx4bipw3ahov29gnu18fmt07e.data-exfil.com,2,TXT,tunneling,easy,0.9671
29262,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,166,MX,suspicious,medium,0.9866
60107,28,youtube.com,0,TXT,normal,easy,0.4878
32239,9,netflix.com,2,A,normal,easy,0.543
59852,15,netflix.com,22,A,normal,easy,0.543
140041,9,dkry5cjqx4.data-exfil.com,3,TXT,tunneling,easy,0.6425
179083,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,92,A,suspicious,medium,0.9866
151164,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,0,TXT,tunneling,easy,0.9866
167456,5,dkry5cjqx4.data-exfil.com,0,TXT,tunneling,easy,0.6425
10313,51,whatsapp.com,166,MX,suspicious,medium,0.4836
140565,28,dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,0,MX,tunneling,easy,0.9299
37521,15,dkry5cjqx4bipw3.data-exfil.com,0,A,tunneling,easy,0.7557
155785,9,wikipedia.org,37,A,normal,easy,0.511
151282,51,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3.data-exfil.com,7,A,tunneling,easy,0.9834
202017,54,facebook.com,0,A,normal,easy,0.5319
77420,12,dkry5cjqx4bi.data-exfil.com,0,TXT,tunneling,easy,0.6934
43828,6,dkry5cjqx4.data-exfil.com,8,TXT,suspicious,medium,0.6425
21373,28,google.com,0,TXT,normal,easy,0.371
2684,7,netflix.com,2,MX,normal,easy,0.543
164471,14,microsoft.com,0,A,normal,easy,0.5702
59732,36,youtube.com,85,MX,suspicious,medium,0.4878
35274,37,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6d.data-exfil.com,13,MX,suspicious,medium,0.9972
79606,61,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,138,TXT,suspicious,medium,0.9886
109475,51,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3.data-exfil.com,18,A,suspicious,medium,0.9834
205098,42,whatsapp.com,25477,TXT,suspicious,medium,0.4836
8356,57,amazon.in,0,TXT,normal,easy,0.4355
112513,38,wikipedia.org,5,MX,normal,easy,0.511
58671,29,dkry5cjqx4bipw3ahov29gnu18fmt.data-exfil.com,5,MX,tunneling,hard,0.9397
4856,50,youtube.com,61,A,suspicious,medium,0.4878
36622,28,dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,0,A,tunneling,easy,0.9299
129722,24,whatsapp.com,12,MX,normal,easy,0.4836
213674,57,wikipedia.org,0,A,normal,easy,0.511
74959,50,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw.data-exfil.com,0,MX,tunneling,easy,0.9834
6419,55,facebook.com,11428,A,suspicious,medium,0.5319
59147,10,youtube.com,2,A,normal,easy,0.4878
53773,52,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3a.data-exfil.com,3,A,tunneling,easy,0.9836
125049,59,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gn.data-exfil.com,254,TXT,suspicious,medium,0.9871
181609,5,dkry5cjqx4.data-exfil.com,1,TXT,tunneling,easy,0.6425
104552,42,amazon.in,0,MX,normal,easy,0.4355
83820,47,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4b.data-exfil.com,0,TXT,tunneling,easy,0.9839
150415,61,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,3,A,tunneling,hard,0.9886
61289,51,google.com,0,MX,normal,easy,0.371
193700,15,facebook.com,16000,A,suspicious,medium,0.5319
168312,46,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4.data-exfil.com,15,TXT,tunneling,easy,0.9843
87789,43,facebook.com,0,A,normal,easy,0.5319
11201,56,netflix.com,8492,A,suspicious,medium,0.543
195535,51,whatsapp.com,13,TXT,normal,easy,0.4836
174158,12,microsoft.com,0,A,normal,easy,0.5702
212631,49,youtube.com,2,A,normal,easy,0.4878
213442,58,wikipedia.org,37735,A,suspicious,medium,0.511
64254,19,dkry5cjqx4bipw3ahov.data-exfil.com,0,TXT,tunneling,easy,0.8217
158912,59,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gn.data-exfil.com,0,TXT,tunneling,easy,0.9871
190265,8,dkry5cjqx4.data-exfil.com,6,A,tunneling,easy,0.6425
176827,50,youtube.com,0,MX,normal,easy,0.4878
81806,33,dkry5cjqx4bipw3ahov29gnu18fmt07el.data-exfil.com,2,MX,tunneling,easy,0.9757
77932,32,wikipedia.org,14981,TXT,suspicious,medium,0.511
39375,24,dkry5cjqx4bipw3ahov29gnu.data-exfil.com,0,A,tunneling,easy,0.8869
218857,54,whatsapp.com,16,A,normal,easy,0.4836
184315,30,dkry5cjqx4bipw3ahov29gnu18fmt0.data-exfil.com,215,TXT,tunneling,hard,0.9491
155606,12,facebook.com,49,A,normal,easy,0.5319
39190,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,0,A,suspicious,medium,0.9866
7459,57,whatsapp.com,1,A,normal,easy,0.4836
131618,45,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx.data-exfil.com,2,TXT,tunneling,easy,0.9849
3491,12,facebook.com,2615,MX,suspicious,medium,0.5319
62365,46,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4.data-exfil.com,1,A,tunneling,easy,0.9843
68203,25,dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,5,A,tunneling,easy,0.8982
172781,14,dkry5cjqx4bipw.data-exfil.com,12,A,suspicious,medium,0.7364
223174,22,facebook.com,3,TXT,normal,easy,0.5319
188635,45,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx.data-exfil.com,2,A,tunneling,easy,0.9849
225602,64,youtube.com,8368,A,suspicious,medium,0.4878
208194,47,youtube.com,65,A,suspicious,medium,0.4878
65195,25,dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,2,A,tunneling,easy,0.8982
119882,18,google.com,0,A,normal,easy,0.371
217880,17,whatsapp.com,17,A,normal,easy,0.4836
161313,6,dkry5cjqx4.data-exfil.com,0,TXT,tunneling,easy,0.6425
221752,55,wikipedia.org,1,TXT,normal,easy,0.511
198889,16,whatsapp.com,2,A,normal,easy,0.4836
58394,41,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5.data-exfil.com,0,A,tunneling,easy,0.9891
179340,5,dkry5cjqx4.data-exfil.com,65,A,suspicious,medium,0.6425
32587,28,wikipedia.org,10,TXT,normal,easy,0.511
31236,20,whatsapp.com,20512,MX,suspicious,medium,0.4836
167153,29,dkry5cjqx4bipw3ahov29gnu18fmt.data-exfil.com,3,A,tunneling,easy,0.9397
35872,27,dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,1,TXT,tunneling,easy,0.9197
11687,30,whatsapp.com,19512,MX,suspicious,medium,0.4836
42855,33,facebook.com,0,TXT,normal,easy,0.5319
190963,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,4,MX,tunneling,easy,0.9866
88892,57,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29.data-exfil.com,7,A,suspicious,medium,0.9857
52038,41,netflix.com,1,A,normal,easy,0.543
108897,61,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,0,A,tunneling,easy,0.9886
221775,43,facebook.com,67,A,suspicious,medium,0.5319
196968,11,dkry5cjqx4b.data-exfil.com,2,A,tunneling,easy,0.6691
210684,55,amazon.in,0,A,normal,easy,0.4355
64827,38,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dk.data-exfil.com,0,TXT,tunneling,easy,0.9947
196210,46,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4.data-exfil.com,0,TXT,tunneling,easy,0.9843
182223,22,dkry5cjqx4bipw3ahov29g.data-exfil.com,3,A,tunneling,easy,0.8626
189998,63,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,197,A,suspicious,medium,0.9904
138058,45,netflix.com,31,A,normal,easy,0.543
155272,22,whatsapp.com,6,A,normal,easy,0.4836
121225,11,wikipedia.org,0,MX,normal,easy,0.511
23744,47,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4b.data-exfil.com,0,A,tunneling,easy,0.9839
26218,64,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,11,TXT,tunneling,easy,0.9913
133608,49,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bip.data-exfil.com,16,TXT,tunneling,easy,0.9834
18960,52,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3a.data-exfil.com,814,TXT,suspicious,medium,0.9836
135224,56,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov2.data-exfil.com,320,A,suspicious,medium,0.9851
52135,57,microsoft.com,1,MX,normal,easy,0.5702
90039,64,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,1,A,tunneling,easy,0.9913
174777,6,wikipedia.org,2000000,TXT,suspicious,medium,0.511
152099,38,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dk.data-exfil.com,10,TXT,tunneling,easy,0.9947
148388,60,microsoft.com,36363,A,suspicious,medium,0.5702
155426,57,youtube.com,1,MX,normal,easy,0.4878
61171,51,wikipedia.org,0,MX,normal,easy,0.511
210745,8,youtube.com,0,MX,normal,easy,0.4878
10050,25,netflix.com,0,A,normal,easy,0.543
44337,19,dkry5cjqx4bipw3ahov.data-exfil.com,3,A,suspicious,medium,0.8217
87578,10,facebook.com,1,MX,normal,easy,0.5319
181222,42,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5c.data-exfil.com,12,A,tunneling,easy,0.9878
206754,53,wikipedia.org,0,A,normal,easy,0.511
217303,62,youtube.com,42,A,normal,easy,0.4878
188760,61,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,0,TXT,tunneling,easy,0.9886
164188,30,dkry5cjqx4bipw3ahov29gnu18fmt0.data-exfil.com,5,A,tunneling,easy,0.9491
41075,12,netflix.com,5,A,normal,easy,0.543
139048,15,whatsapp.com,1,A,normal,easy,0.4836
191775,34,dkry5cjqx4bipw3ahov29gnu18fmt07els.data-exfil.com,8,MX,tunneling,easy,0.984
198385,12,whatsapp.com,29850,TXT,suspicious,medium,0.4836
90898,17,dkry5cjqx4bipw3ah.data-exfil.com,4,A,tunneling,easy,0.7906
550,48,amazon.in,84,MX,suspicious,medium,0.4355
55759,10,dkry5cjqx4.data-exfil.com,0,MX,tunneling,easy,0.6425
44244,41,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5.data-exfil.com,0,A,tunneling,easy,0.9891
185425,52,whatsapp.com,0,MX,normal,easy,0.4836
120929,55,amazon.in,0,MX,normal,easy,0.4355
79983,8,dkry5cjqx4.data-exfil.com,101,A,suspicious,medium,0.6425
35125,43,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cj.data-exfil.com,15,TXT,suspicious,medium,0.9866
108015,30,dkry5cjqx4bipw3ahov29gnu18fmt0.data-exfil.com,0,A,tunneling,easy,0.9491
199643,21,whatsapp.com,26315,A,suspicious,medium,0.4836
162032,38,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dk.data-exfil.com,215,TXT,suspicious,medium,0.9947
186150,56,amazon.in,1,A,normal,easy,0.4355
69572,25,whatsapp.com,0,A,normal,easy,0.4836
89305,26,dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,0,MX,tunneling,easy,0.9092
127941,12,dkry5cjqx4bi.data-exfil.com,0,A,tunneling,easy,0.6934
120415,12,netflix.com,1,MX,normal,easy,0.543
68512,56,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov2.data-exfil.com,221,A,suspicious,medium,0.9851
28597,56,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov2.data-exfil.com,12,A,tunneling,hard,0.9851
174581,59,youtube.com,79,TXT,suspicious,medium,0.4878
141768,63,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18f.data-exfil.com,28,MX,tunneling,easy,0.9904
161309,8,dkry5cjqx4.data-exfil.com,0,A,tunneling,easy,0.6425
8700,47,google.com,24691,MX,suspicious,medium,0.371
124709,16,dkry5cjqx4bipw3a.data-exfil.com,0,MX,suspicious,medium,0.7737
186991,37,netflix.com,32608,MX,suspicious,medium,0.543
156197,32,amazon.in,3,TXT,normal,hard,0.4355
146742,28,amazon.in,0,A,normal,easy,0.4355
80584,64,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,39,A,tunneling,easy,0.9913
21006,24,dkry5cjqx4bipw3ahov29gnu.data-exfil.com,101,TXT,suspicious,medium,0.8869
171017,64,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18fm.data-exfil.com,4,A,tunneling,hard,0.9913
70233,5,amazon.in,0,TXT,normal,easy,0.4355
89881,25,dkry5cjqx4bipw3ahov29gnu1.data-exfil.com,50,TXT,suspicious,medium,0.8982
32786,56,google.com,1,A,normal,easy,0.371
200576,14,amazon.in,145,A,suspicious,medium,0.4355
117157,62,dkry5cjqx4bipw3ahov29gnu18fmt07elsz6dkry5cjqx4bipw3ahov29gnu18.data-exfil.com,26,A,tunneling,easy,0.9895
104367,54,wikipedia.org,0,A,normal,easy,0.511
